Date,Open,High,Low,Close,Adj Close,Volume
2002-11-13,19.650000,19.750000,19.110001,19.379999,8.592532,511470
2002-11-14,19.400000,19.490000,18.910000,19.299999,8.557063,593210
2002-11-15,19.290001,19.299999,19.219999,19.264999,8.541545,768950
2002-11-18,19.174999,19.400000,19.174999,19.370001,8.588101,573000
2002-11-20,19.309999,19.510000,19.174999,19.430000,8.614703,117910
2002-11-21,19.315001,19.389999,19.250000,19.365000,8.585883,443290
2002-11-22,19.400000,19.625000,19.400000,19.555000,8.670125,515700
2002-11-25,19.680000,19.950001,19.455000,19.580000,8.681208,2981480
2002-11-26,19.594999,19.600000,19.500000,19.584999,8.683424,655100
2002-11-27,19.549999,19.750000,19.490000,19.575001,8.678991,709500
2002-11-28,19.504999,19.575001,19.485001,19.549999,8.667907,1169090
2002-11-29,19.510000,19.610001,19.500000,19.504999,8.647954,820520
2002-12-02,19.525000,19.575001,19.400000,19.510000,8.650173,941220
2002-12-03,19.549999,19.549999,19.400000,19.510000,8.650173,1446820
2002-12-04,19.799999,19.799999,19.434999,19.594999,8.687858,785440
2002-12-05,19.665001,19.850000,19.504999,19.770000,8.765450,93540
2002-12-06,19.900000,19.900000,19.520000,19.840000,8.796485,2852230
2002-12-09,19.900000,20.000000,19.500000,19.525000,8.656821,364090
2002-12-10,19.400000,19.475000,19.004999,19.115000,8.475041,376870
2002-12-11,19.250000,19.250000,18.799999,18.840000,8.353113,343800
2002-12-12,19.000000,19.690001,18.959999,19.504999,8.647954,2424390
2002-12-13,19.700001,20.480000,19.700001,20.355000,9.024820,3635070
2002-12-16,20.590000,21.545000,20.500000,20.885000,9.259807,1433780
2002-12-17,21.100000,21.600000,20.700001,21.535000,9.547999,930970
2002-12-18,21.780001,21.940001,21.205000,21.730000,9.634457,946360
2002-12-19,21.750000,21.885000,21.240000,21.820000,9.674358,916020
2002-12-20,21.799999,22.240000,21.700001,22.115000,9.805154,535770
2002-12-23,21.000000,22.290001,21.000000,21.905001,9.712047,312960
2002-12-24,21.500000,22.094999,21.500000,21.855000,9.689875,158720
2002-12-26,22.100000,22.100000,21.770000,21.799999,9.665492,219400
2002-12-27,21.875000,21.930000,21.700001,21.820000,9.674358,537700
2002-12-30,21.735001,21.825001,21.299999,21.465000,9.516964,395060
2002-12-31,21.405001,22.000000,21.129999,21.900000,9.709828,662630
2003-01-01,21.975000,21.975000,21.455000,21.545000,9.552431,91720
2003-01-02,21.600000,21.900000,21.500000,21.850000,9.687659,196590
2003-01-03,21.850000,21.850000,21.500000,21.530001,9.545782,150820
2003-01-06,21.500000,21.545000,21.325001,21.490000,9.528048,127180
2003-01-07,21.250000,21.850000,21.250000,21.785000,9.658840,723630
2003-01-08,21.735001,21.735001,21.400000,21.504999,9.534696,335140
2003-01-09,21.424999,21.500000,21.184999,21.420000,9.497009,969700
2003-01-10,21.375000,21.530001,21.275000,21.465000,9.516964,413510
2003-01-13,21.555000,21.900000,21.500000,21.580000,9.567951,163940
2003-01-14,21.674999,21.870001,21.625000,21.809999,9.669925,160300
2003-01-15,21.850000,22.299999,21.635000,21.725000,9.632240,459160
2003-01-16,21.750000,21.975000,21.750000,21.905001,9.712047,216940
2003-01-17,22.000000,22.400000,21.950001,22.355000,9.911564,421630
2003-01-20,22.400000,22.580000,22.105000,22.440001,9.949249,482480
2003-01-21,22.410000,22.799999,22.200001,22.715000,10.071177,402600
2003-01-22,22.790001,24.150000,22.700001,24.035000,10.656427,1863820
2003-01-23,23.799999,24.299999,23.400000,23.570000,10.450259,885580
2003-01-24,23.700001,23.980000,23.500000,23.785000,10.545585,937820
2003-01-27,23.799999,23.980000,23.500000,23.844999,10.572188,393010
2003-01-28,23.740000,23.799999,22.155001,23.129999,10.255174,988140
2003-01-29,23.000000,23.150000,22.615000,22.959999,10.179800,202780
2003-01-30,22.905001,23.700001,22.555000,22.815001,10.115514,359470
2003-01-31,22.900000,23.905001,22.700001,23.695000,10.505680,835060
2003-02-03,23.000000,24.000000,23.000000,23.629999,10.476860,1099780
2003-02-04,23.850000,24.424999,23.799999,24.004999,10.643124,1246100
2003-02-05,24.200001,24.200001,23.955000,24.004999,10.643124,196460
2003-02-06,24.049999,24.495001,24.000000,24.209999,10.734015,272570
2003-02-07,24.250000,25.045000,24.250000,24.695000,10.949052,1332200
2003-02-10,24.500000,24.700001,24.235001,24.650000,10.929103,213380
2003-02-11,24.500000,24.600000,24.450001,24.545000,10.882547,477520
2003-02-12,24.750000,24.950001,24.400000,24.830000,11.008905,638420
2003-02-14,24.850000,25.090000,24.700001,24.764999,10.980087,1916910
2003-02-17,24.725000,24.950001,24.600000,24.715000,10.957919,118830
2003-02-18,25.014999,25.014999,24.475000,24.555000,10.886979,224150
2003-02-19,24.840000,25.215000,24.840000,25.100000,11.128618,1683280
2003-02-20,25.495001,25.799999,24.934999,25.000000,11.084280,413160
2003-02-21,25.000000,25.100000,24.549999,24.985001,11.077631,182520
2003-02-24,25.000000,25.000000,24.575001,24.680000,10.942403,109290
2003-02-25,24.700001,24.740000,24.500000,24.520000,10.871461,52760
2003-02-26,24.500000,24.965000,24.500000,24.844999,11.015557,163350
2003-02-27,24.625000,24.850000,24.600000,24.844999,11.015557,144370
2003-02-28,24.900000,25.250000,24.420000,24.985001,11.077631,102125430
2003-03-03,25.049999,25.170000,24.100000,24.180000,10.720716,149190
2003-03-04,24.299999,24.500000,24.000000,24.225000,10.740667,1755520
2003-03-05,24.100000,24.480000,24.100000,24.160000,10.711847,92740
2003-03-06,24.105000,24.200001,24.000000,24.100000,10.685245,495310
2003-03-07,23.709999,24.000000,23.700001,23.815001,10.558885,2860350
2003-03-10,24.000000,24.200001,23.900000,24.080000,10.676379,516200
2003-03-11,23.674999,24.000000,23.510000,23.809999,10.556667,1071840
2003-03-12,23.799999,23.900000,23.650000,23.805000,10.554451,86760
2003-03-13,23.940001,24.075001,23.900000,23.905001,10.598787,9146440
2003-03-17,23.745001,24.010000,23.715000,23.915001,10.603223,2730850
2003-03-19,23.799999,24.200001,23.775000,24.135000,10.700763,514100
2003-03-20,23.900000,24.525000,23.865000,24.480000,10.853725,2146880
2003-03-21,24.184999,24.264999,23.799999,24.059999,10.667509,111400
2003-03-24,23.510000,23.900000,23.420000,23.620001,10.472427,667840
2003-03-25,23.410000,23.600000,23.049999,23.330000,10.343849,100390
2003-03-26,23.110001,23.750000,23.110001,23.485001,10.412571,1176700
2003-03-27,23.500000,23.665001,22.299999,22.809999,10.113297,64740
2003-03-28,22.799999,23.590000,22.799999,23.455000,10.399270,192800
2003-03-31,23.299999,23.900000,23.150000,23.375000,10.363802,216970
2003-04-01,23.400000,23.500000,23.200001,23.389999,10.370450,23350
2003-04-02,23.389999,23.600000,23.209999,23.295000,10.328331,969850
2003-04-03,23.400000,23.590000,23.315001,23.440001,10.392621,9033540
2003-04-04,23.500000,24.200001,23.400000,24.025000,10.651992,135220
2003-04-07,24.299999,24.940001,24.299999,24.520000,10.871461,442920
2003-04-08,24.400000,24.700001,23.799999,24.000000,10.640909,1681380
2003-04-09,23.600000,24.000000,23.309999,23.455000,10.399270,83620
2003-04-10,23.400000,24.900000,23.000000,23.424999,10.385969,296920
2003-04-11,23.495001,24.150000,23.035000,23.785000,10.545585,503310
2003-04-15,24.180000,24.200001,23.705000,24.090000,10.680814,3072320
2003-04-16,24.200001,24.584999,24.200001,24.334999,10.789439,132340
2003-04-17,24.400000,24.820000,24.400000,24.645000,10.926883,500250
2003-04-21,24.990000,24.990000,24.400000,24.549999,10.884764,379980
2003-04-22,24.500000,24.500000,24.200001,24.424999,10.829340,358600
2003-04-23,24.299999,24.334999,23.600000,23.715000,10.514548,65730
2003-04-24,23.750000,24.245001,23.600000,24.014999,10.647559,97290
2003-04-25,24.100000,24.495001,24.014999,24.440001,10.835994,178470
2003-04-28,24.254999,24.410000,24.200001,24.379999,10.809389,64100
2003-04-29,24.625000,24.799999,24.334999,24.420000,10.827126,600980
2003-04-30,24.305000,24.870001,24.120001,24.635000,12.452205,1421050
2003-05-02,24.500000,25.600000,24.500000,25.305000,12.790867,2434890
2003-05-05,25.320000,25.700001,24.850000,25.014999,12.644281,2553470
2003-05-06,24.850000,24.885000,24.700001,24.770000,12.520441,1168550
2003-05-07,24.600000,24.799999,24.375000,24.645000,12.457258,2133000
2003-05-08,24.594999,24.594999,24.100000,24.375000,12.320783,186040
2003-05-09,24.330000,24.799999,24.200001,24.575001,12.421875,78540
2003-05-12,24.799999,24.799999,24.299999,24.370001,12.318255,403190
2003-05-13,24.514999,24.514999,24.299999,24.440001,12.353639,160580
2003-05-14,24.230000,24.450001,24.225000,24.344999,12.305617,39770
2003-05-15,24.400000,24.980000,24.320000,24.900000,12.586153,142210
2003-05-16,25.000000,25.250000,24.855000,25.025000,12.649335,330520
2003-05-19,25.150000,25.150000,24.600000,24.850000,12.560881,394030
2003-05-20,24.600000,24.750000,24.424999,24.584999,12.426933,624690
2003-05-21,24.535000,25.299999,24.020000,24.915001,12.593735,295780
2003-05-22,25.299999,25.400000,24.110001,24.145000,12.204526,170810
2003-05-23,24.889999,24.889999,24.150000,24.250000,12.257599,89560
2003-05-26,24.584999,25.260000,24.405001,25.010000,12.641755,6901380
2003-05-27,25.025000,25.150000,24.379999,24.575001,12.421875,114040
2003-05-28,24.510000,24.740000,24.225000,24.330000,12.298035,10352700
2003-05-29,24.325001,24.700001,24.264999,24.594999,12.431984,424890
2003-05-30,24.650000,24.924999,24.320000,24.504999,12.386491,665680
2003-06-02,24.424999,24.665001,24.250000,24.385000,12.325837,194010
2003-06-03,24.209999,25.000000,24.200001,24.934999,12.603843,758730
2003-06-04,25.150000,25.500000,25.000000,25.190001,12.732738,691970
2003-06-05,25.290001,25.690001,25.110001,25.254999,12.765593,915210
2003-06-06,25.250000,26.299999,25.200001,25.915001,13.099202,1260470
2003-06-09,26.094999,26.625000,25.900000,26.010000,13.147225,591010
2003-06-10,25.504999,25.900000,25.125000,25.184999,12.730212,193610
2003-06-11,25.500000,26.010000,25.100000,25.580000,12.929871,508690
2003-06-12,25.700001,25.775000,25.100000,25.209999,12.742846,332420
2003-06-13,25.350000,25.600000,25.000000,25.090000,12.682192,1886500
2003-06-16,25.299999,25.400000,25.105000,25.250000,12.763069,342500
2003-06-17,25.424999,25.790001,25.129999,25.315001,12.795922,1034600
2003-06-18,25.205000,25.395000,24.840000,25.165001,12.720101,225800
2003-06-19,25.100000,25.400000,24.900000,24.910000,12.591206,529170
2003-06-20,25.299999,25.299999,24.500000,24.709999,12.490113,1024220
2003-06-23,24.975000,24.975000,24.205000,24.295000,12.280344,2908990
